Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
789M14_R1_001	(12.0, 1.0)	(13.0, 14.0)	(14.0, 182.0)	(15.0, 833.0)	(16.0, 1949.0)	(17.0, 2947.0)	(18.0, 3628.0)	(19.0, 4302.0)	(20.0, 5140.0)	(21.0, 6404.0)	(22.0, 8904.0)	(23.0, 13232.0)	(24.0, 21244.0)	(25.0, 34627.0)	(26.0, 55809.0)	(27.0, 86801.0)	(28.0, 128968.0)	(29.0, 184717.0)	(30.0, 249428.0)	(31.0, 328457.0)	(32.0, 427888.0)	(33.0, 581325.0)	(34.0, 922426.0)	(35.0, 2194140.0)	(36.0, 14059599.0)	(37.0, 1721030.0)				
789M14_R2_001	(11.0, 3.0)	(12.0, 84.0)	(13.0, 503.0)	(14.0, 1203.0)	(15.0, 1874.0)	(16.0, 2834.0)	(17.0, 4242.0)	(18.0, 6381.0)	(19.0, 10667.0)	(20.0, 18331.0)	(21.0, 28654.0)	(22.0, 42012.0)	(23.0, 56990.0)	(24.0, 70441.0)	(25.0, 85017.0)	(26.0, 104913.0)	(27.0, 129536.0)	(28.0, 163340.0)	(29.0, 208169.0)	(30.0, 268898.0)	(31.0, 364679.0)	(32.0, 526413.0)	(33.0, 842923.0)	(34.0, 1605732.0)	(35.0, 4270800.0)	(36.0, 11847820.0)	(37.0, 381536.0)			
789M4_R1_001	(13.0, 15.0)	(14.0, 186.0)	(15.0, 739.0)	(16.0, 1581.0)	(17.0, 2387.0)	(18.0, 2899.0)	(19.0, 3590.0)	(20.0, 4674.0)	(21.0, 6540.0)	(22.0, 9813.0)	(23.0, 15103.0)	(24.0, 24286.0)	(25.0, 39163.0)	(26.0, 59146.0)	(27.0, 86570.0)	(28.0, 123193.0)	(29.0, 173275.0)	(30.0, 235833.0)	(31.0, 312938.0)	(32.0, 410652.0)	(33.0, 564375.0)	(34.0, 901083.0)	(35.0, 2131741.0)	(36.0, 12931155.0)	(37.0, 1609167.0)					
789M4_R2_001	(11.0, 4.0)	(12.0, 90.0)	(13.0, 481.0)	(14.0, 1136.0)	(15.0, 1769.0)	(16.0, 2500.0)	(17.0, 3806.0)	(18.0, 5981.0)	(19.0, 9921.0)	(20.0, 16459.0)	(21.0, 26056.0)	(22.0, 37999.0)	(23.0, 51553.0)	(24.0, 64532.0)	(25.0, 80399.0)	(26.0, 101561.0)	(27.0, 127472.0)	(28.0, 160288.0)	(29.0, 204004.0)	(30.0, 260764.0)	(31.0, 351322.0)	(32.0, 507449.0)	(33.0, 809117.0)	(34.0, 1522214.0)	(35.0, 3953402.0)	(36.0, 10989467.0)	(37.0, 360358.0)			
7C14_R1_001	(13.0, 9.0)	(14.0, 120.0)	(15.0, 529.0)	(16.0, 1279.0)	(17.0, 1903.0)	(18.0, 2508.0)	(19.0, 3340.0)	(20.0, 4694.0)	(21.0, 6580.0)	(22.0, 9470.0)	(23.0, 13471.0)	(24.0, 20060.0)	(25.0, 30905.0)	(26.0, 48880.0)	(27.0, 74184.0)	(28.0, 109412.0)	(29.0, 155344.0)	(30.0, 210761.0)	(31.0, 274429.0)	(32.0, 359569.0)	(33.0, 487582.0)	(34.0, 766911.0)	(35.0, 1792157.0)	(36.0, 11064547.0)	(37.0, 1417944.0)	(38.0, 218079.0)	(39.0, 1148966.0)	(40.0, 453525.0)		
7C14_R2_001	(11.0, 4.0)	(12.0, 63.0)	(13.0, 365.0)	(14.0, 931.0)	(15.0, 1439.0)	(16.0, 2765.0)	(17.0, 5690.0)	(18.0, 10355.0)	(19.0, 15451.0)	(20.0, 21943.0)	(21.0, 31249.0)	(22.0, 41701.0)	(23.0, 53396.0)	(24.0, 63525.0)	(25.0, 75439.0)	(26.0, 91684.0)	(27.0, 113891.0)	(28.0, 142728.0)	(29.0, 181379.0)	(30.0, 233733.0)	(31.0, 314358.0)	(32.0, 453590.0)	(33.0, 723095.0)	(34.0, 1367339.0)	(35.0, 3582267.0)	(36.0, 9162079.0)	(37.0, 389512.0)	(38.0, 296700.0)	(39.0, 1068836.0)	(40.0, 231651.0)
89C14_R1_001	(13.0, 6.0)	(14.0, 59.0)	(15.0, 305.0)	(16.0, 743.0)	(17.0, 1169.0)	(18.0, 1638.0)	(19.0, 2188.0)	(20.0, 2976.0)	(21.0, 4063.0)	(22.0, 5866.0)	(23.0, 9098.0)	(24.0, 15144.0)	(25.0, 26863.0)	(26.0, 46810.0)	(27.0, 78267.0)	(28.0, 124417.0)	(29.0, 182923.0)	(30.0, 254867.0)	(31.0, 338602.0)	(32.0, 444336.0)	(33.0, 607286.0)	(34.0, 973019.0)	(35.0, 2328658.0)	(36.0, 14708665.0)	(37.0, 1718900.0)					
89C14_R2_001	(11.0, 3.0)	(12.0, 60.0)	(13.0, 447.0)	(14.0, 969.0)	(15.0, 1326.0)	(16.0, 1939.0)	(17.0, 3028.0)	(18.0, 4978.0)	(19.0, 8959.0)	(20.0, 16109.0)	(21.0, 26164.0)	(22.0, 39582.0)	(23.0, 54679.0)	(24.0, 69552.0)	(25.0, 88499.0)	(26.0, 111963.0)	(27.0, 141516.0)	(28.0, 180343.0)	(29.0, 232614.0)	(30.0, 302741.0)	(31.0, 411361.0)	(32.0, 597408.0)	(33.0, 957797.0)	(34.0, 1818666.0)	(35.0, 4756359.0)	(36.0, 11744241.0)	(37.0, 305565.0)			
89C9_R1_001	(13.0, 12.0)	(14.0, 124.0)	(15.0, 534.0)	(16.0, 1173.0)	(17.0, 1852.0)	(18.0, 2588.0)	(19.0, 3567.0)	(20.0, 5300.0)	(21.0, 7676.0)	(22.0, 11200.0)	(23.0, 16006.0)	(24.0, 23313.0)	(25.0, 35281.0)	(26.0, 53347.0)	(27.0, 77954.0)	(28.0, 111793.0)	(29.0, 156148.0)	(30.0, 210228.0)	(31.0, 273183.0)	(32.0, 357617.0)	(33.0, 486709.0)	(34.0, 768454.0)	(35.0, 1800175.0)	(36.0, 10669921.0)	(37.0, 1358508.0)	(38.0, 321188.0)	(39.0, 1544370.0)	(40.0, 550011.0)		
89C9_R2_001	(11.0, 1.0)	(12.0, 83.0)	(13.0, 353.0)	(14.0, 768.0)	(15.0, 1277.0)	(16.0, 2797.0)	(17.0, 6449.0)	(18.0, 12015.0)	(19.0, 16829.0)	(20.0, 23345.0)	(21.0, 31988.0)	(22.0, 42553.0)	(23.0, 52830.0)	(24.0, 63906.0)	(25.0, 75577.0)	(26.0, 91257.0)	(27.0, 112359.0)	(28.0, 139274.0)	(29.0, 175316.0)	(30.0, 225090.0)	(31.0, 301539.0)	(32.0, 434089.0)	(33.0, 685475.0)	(34.0, 1285425.0)	(35.0, 3349550.0)	(36.0, 9117276.0)	(37.0, 479876.0)	(38.0, 414107.0)	(39.0, 1412244.0)	(40.0, 294584.0)
89M9_R1_001	(13.0, 7.0)	(14.0, 74.0)	(15.0, 266.0)	(16.0, 752.0)	(17.0, 1192.0)	(18.0, 1599.0)	(19.0, 2410.0)	(20.0, 3791.0)	(21.0, 5730.0)	(22.0, 8618.0)	(23.0, 12081.0)	(24.0, 17400.0)	(25.0, 26642.0)	(26.0, 41666.0)	(27.0, 64375.0)	(28.0, 96403.0)	(29.0, 139126.0)	(30.0, 190591.0)	(31.0, 250248.0)	(32.0, 331068.0)	(33.0, 452181.0)	(34.0, 720694.0)	(35.0, 1671102.0)	(36.0, 10336920.0)	(37.0, 1441538.0)	(38.0, 379788.0)	(39.0, 1913356.0)	(40.0, 592311.0)		
89M9_R2_001	(11.0, 2.0)	(12.0, 38.0)	(13.0, 242.0)	(14.0, 587.0)	(15.0, 1072.0)	(16.0, 2437.0)	(17.0, 6653.0)	(18.0, 13164.0)	(19.0, 18579.0)	(20.0, 25288.0)	(21.0, 33651.0)	(22.0, 41271.0)	(23.0, 49741.0)	(24.0, 58617.0)	(25.0, 68888.0)	(26.0, 84205.0)	(27.0, 103157.0)	(28.0, 129765.0)	(29.0, 163682.0)	(30.0, 211458.0)	(31.0, 283150.0)	(32.0, 406478.0)	(33.0, 638685.0)	(34.0, 1195327.0)	(35.0, 3109670.0)	(36.0, 9082157.0)	(37.0, 593163.0)	(38.0, 546756.0)	(39.0, 1595172.0)	(40.0, 238874.0)
