Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
123H4_R1_001	(1.0, 37.93480083551623)	(2.0, 16.357535988008568)	(3.0, 8.751772558401973)	(4.0, 4.967389069836283)	(5.0, 3.086017127824098)	(6.0, 2.0546917620936678)	(7.0, 1.4233974372826133)	(8.0, 1.0616124602082326)	(9.0, 0.8607435642640245)	('>10', 7.513199672364124)	('>50', 2.1780327407972293)	('>100', 5.981433209980567)	('>500', 2.8048292112701123)	('>1k', 4.389374248389973)	('>5k', 0.4223496259184261)	('>10k+', 0.21282048784393134)
123H4_R2_001	(1.0, 41.18973115285057)	(2.0, 15.458839822724094)	(3.0, 8.284909625036276)	(4.0, 4.660153174209292)	(5.0, 2.8809395701581577)	(6.0, 1.8562158979417858)	(7.0, 1.320275105644674)	(8.0, 0.9708840907815776)	(9.0, 0.7851666013435781)	('>10', 7.217933994993447)	('>50', 2.1155225833720177)	('>100', 5.70110200657204)	('>500', 2.676072407502375)	('>1k', 4.2035692258607105)	('>5k', 0.2588427528277306)	('>10k+', 0.41984198818176266)
123H9_R1_001	(1.0, 37.39526344559728)	(2.0, 13.31039161540161)	(3.0, 6.316333581787581)	(4.0, 3.5496252311110164)	(5.0, 2.2859322956131902)	(6.0, 1.4556653256956822)	(7.0, 1.1579442526345178)	(8.0, 0.8689624916951195)	(9.0, 0.7333167311044396)	('>10', 7.1801353505303105)	('>50', 2.577908473778714)	('>100', 8.283292258053496)	('>500', 4.8793458462685315)	('>1k', 8.089275795301361)	('>5k', 1.4719244314408888)	('>10k+', 0.44468287398637624)
123H9_R2_001	(1.0, 39.58120041541777)	(2.0, 12.97051223676872)	(3.0, 5.938394059344676)	(4.0, 3.4006140145448027)	(5.0, 2.253792967186928)	(6.0, 1.4782199636938518)	(7.0, 1.069388621008005)	(8.0, 0.8179890518286328)	(9.0, 0.7104957393572537)	('>10', 7.007876035776365)	('>50', 2.386991938960153)	('>100', 7.951860968142095)	('>500', 4.741057021869865)	('>1k', 7.5960790925410056)	('>5k', 1.5410915525454758)	('>10k+', 0.5544363210144008)
123L14_R1_001	(1.0, 38.62184099083692)	(2.0, 14.544625832010958)	(3.0, 7.722882803673173)	(4.0, 4.880223862326094)	(5.0, 3.464551072249189)	(6.0, 2.472382122514709)	(7.0, 1.7300643381677856)	(8.0, 1.5515793646097538)	(9.0, 1.2213615373578413)	('>10', 11.798760711011798)	('>50', 2.862268017931481)	('>100', 5.8117760264119935)	('>500', 1.8608622739263514)	('>1k', 1.3884542349841205)	('>5k', 0.0)	('>10k+', 0.06836681198793848)
123L14_R2_001	(1.0, 41.89514126694072)	(2.0, 13.950464082185555)	(3.0, 7.1974166472568575)	(4.0, 4.520330184343538)	(5.0, 3.1229347109542682)	(6.0, 2.2632190831946253)	(7.0, 1.7768952751908393)	(8.0, 1.4014488462637193)	(9.0, 1.202852813461983)	('>10', 11.012916200704561)	('>50', 2.67807786985487)	('>100', 5.594904776523971)	('>500', 1.7433519483406286)	('>1k', 1.2747296324304673)	('>5k', 0.09174571996483137)	('>10k+', 0.27357094238848034)
123L4_R1_001	(1.0, 34.20151835300157)	(2.0, 16.84806924691887)	(3.0, 9.758413065260646)	(4.0, 5.847206331040889)	(5.0, 3.669074380718238)	(6.0, 2.2306480364256793)	(7.0, 1.5170610834164666)	(8.0, 1.1491105704732187)	(9.0, 0.8321224611554727)	('>10', 6.912787160472387)	('>50', 2.2362252330424766)	('>100', 6.61987565625662)	('>500', 3.150815178906272)	('>1k', 4.233076568472288)	('>5k', 0.2665423773448694)	('>10k+', 0.5274542970940461)
123L4_R2_001	(1.0, 37.72052466501542)	(2.0, 16.051882752185758)	(3.0, 9.146811695889461)	(4.0, 5.359431492497749)	(5.0, 3.3348061560840385)	(6.0, 2.104414848445332)	(7.0, 1.4275349001320543)	(8.0, 1.0465419404528336)	(9.0, 0.7959480476817361)	('>10', 6.542873559206852)	('>50', 2.1196048877114366)	('>100', 6.467832460044836)	('>500', 3.011705925500839)	('>1k', 3.9442605806038595)	('>5k', 0.21783374420986998)	('>10k+', 0.7079923443378118)
123L9_R1_001	(1.0, 46.6199035392638)	(2.0, 15.884645758268254)	(3.0, 7.793030815553949)	(4.0, 4.5164949529249325)	(5.0, 2.950248039485144)	(6.0, 2.040348407341518)	(7.0, 1.4790622471881587)	(8.0, 1.1117283096131558)	(9.0, 0.9712320811398469)	('>10', 7.393174185628921)	('>50', 1.8622152152736118)	('>100', 4.3167726742160015)	('>500', 1.6672537243127505)	('>1k', 1.3261173846756962)	('>5k', 0.06777266511432349)	('>10k+', 0.0)
123L9_R2_001	(1.0, 50.4480455557982)	(2.0, 14.870665952582703)	(3.0, 6.8856356057987)	(4.0, 4.191652497162076)	(5.0, 2.595987218515452)	(6.0, 1.8571167803654431)	(7.0, 1.376161865948191)	(8.0, 1.0320703053632874)	(9.0, 0.8281218877090971)	('>10', 6.983471277239683)	('>50', 1.7335546374447928)	('>100', 4.115815668976765)	('>500', 1.5149910632143346)	('>1k', 1.2222195728353193)	('>5k', 0.0336923530401254)	('>10k+', 0.3107977580058115)
123M4_R1_001	(1.0, 34.246185197026854)	(2.0, 14.568856970001507)	(3.0, 8.084810789103852)	(4.0, 5.087593552764887)	(5.0, 3.3620103121139016)	(6.0, 2.3841394545081367)	(7.0, 1.8334704126906682)	(8.0, 1.4637915013985017)	(9.0, 1.172354839218947)	('>10', 11.6543786862387)	('>50', 2.9352433641368862)	('>100', 6.517426460766687)	('>500', 2.712589541512433)	('>1k', 3.6136074384830392)	('>5k', 0.23842636153092073)	('>10k+', 0.12511511850401147)
123M4_R2_001	(1.0, 37.68651740559596)	(2.0, 13.881199343310776)	(3.0, 7.661769935686536)	(4.0, 4.678766384340921)	(5.0, 3.1482414279963575)	(6.0, 2.2000547798313055)	(7.0, 1.7218576568182296)	(8.0, 1.3810828938002575)	(9.0, 1.1606633951704963)	('>10', 10.96031085089435)	('>50', 2.8488313472384714)	('>100', 6.198246994382087)	('>500', 2.6234664953216176)	('>1k', 3.2787402126708822)	('>5k', 0.32166589489754804)	('>10k+', 0.2485849820442016)
123M9_R1_001	(1.0, 35.78197728382023)	(2.0, 20.463117434014283)	(3.0, 11.495433811426667)	(4.0, 6.335297480767937)	(5.0, 3.681577277529817)	(6.0, 2.318933375087014)	(7.0, 1.512871049032213)	(8.0, 1.1306023926738247)	(9.0, 0.8411066366222161)	('>10', 6.140716581593035)	('>50', 1.6550159981525765)	('>100', 4.611987474951333)	('>500', 1.9853169199590297)	('>1k', 1.806291808929318)	('>5k', 0.12538867283676433)	('>10k+', 0.11436580260368585)
123M9_R2_001	(1.0, 38.32572486537917)	(2.0, 19.71326140560047)	(3.0, 11.28015152945286)	(4.0, 5.9579198988422775)	(5.0, 3.523312723287552)	(6.0, 2.175105916907824)	(7.0, 1.4246175906769847)	(8.0, 1.020000008926786)	(9.0, 0.7680816470021301)	('>10', 6.025208174707089)	('>50', 1.6145761158397525)	('>100', 4.498037150918796)	('>500', 1.8971216907455073)	('>1k', 1.6537962759483702)	('>5k', 0.1230850057645648)	('>10k+', 0.0)
131415C14_R1_001	(1.0, 44.56493859329186)	(2.0, 15.52538417461576)	(3.0, 8.142958873266076)	(4.0, 4.808923185463595)	(5.0, 3.1722937641328706)	(6.0, 2.055849234988685)	(7.0, 1.54633600850748)	(8.0, 1.210938950881409)	(9.0, 1.0378046692913006)	('>10', 8.667532627698272)	('>50', 1.9994599848103713)	('>100', 4.318553862744788)	('>500', 1.528647668695432)	('>1k', 1.3530212596074216)	('>5k', 0.06735714200463108)	('>10k+', 0.0)
131415C14_R2_001	(1.0, 48.64794271907037)	(2.0, 14.486466038648732)	(3.0, 7.320350921710861)	(4.0, 4.403419678778917)	(5.0, 2.7369013575017105)	(6.0, 1.9794710481628601)	(7.0, 1.434870448121804)	(8.0, 1.1708291338327932)	(9.0, 0.9341808509902797)	('>10', 7.94463131178966)	('>50', 1.944302885554961)	('>100', 4.103191512364409)	('>500', 1.432937719120194)	('>1k', 1.2582601311038222)	('>5k', 0.035630497984561235)	('>10k+', 0.16661374526404168)
131415C4_R1_001	(1.0, 33.66794172191928)	(2.0, 16.321067092286256)	(3.0, 9.173715593425872)	(4.0, 5.487823419353226)	(5.0, 3.4610140946513206)	(6.0, 2.3824515104025132)	(7.0, 1.643351745407494)	(8.0, 1.1162591605736614)	(9.0, 0.9067790257405018)	('>10', 7.794311562289917)	('>50', 2.4013922456330112)	('>100', 6.9255155745842245)	('>500', 3.275305101479619)	('>1k', 4.788564704753072)	('>5k', 0.38234445475426404)	('>10k+', 0.27216299274570205)
131415C4_R2_001	(1.0, 36.31306319018485)	(2.0, 15.895598432579533)	(3.0, 8.851445714969941)	(4.0, 5.224055904440513)	(5.0, 3.311885750835159)	(6.0, 2.1140504974536274)	(7.0, 1.5254235031432957)	(8.0, 1.1194536626407288)	(9.0, 0.8437161223590373)	('>10', 7.553783036023252)	('>50', 2.244061094193278)	('>100', 6.545432693093664)	('>500', 3.103110342268867)	('>1k', 4.671225572106424)	('>5k', 0.3200429754586571)	('>10k+', 0.36365150824905573)
131415C9_R1_001	(1.0, 45.387347871660616)	(2.0, 15.370587515601297)	(3.0, 7.672227415230143)	(4.0, 4.424471796802088)	(5.0, 2.840860407681456)	(6.0, 1.918336568792426)	(7.0, 1.4335186588175985)	(8.0, 1.0983465081066868)	(9.0, 0.893351945957465)	('>10', 7.716281751624125)	('>50', 1.949089675945145)	('>100', 5.076962478925102)	('>500', 1.984170839690551)	('>1k', 2.05799490937892)	('>5k', 0.17645165578627872)	('>10k+', 0.0)
131415C9_R2_001	(1.0, 48.81966575801524)	(2.0, 14.430393130689382)	(3.0, 7.1144182547273545)	(4.0, 4.093944620346635)	(5.0, 2.5923017194052296)	(6.0, 1.7287252696625666)	(7.0, 1.3737691838742272)	(8.0, 1.0041337669263506)	(9.0, 0.8345318824578091)	('>10', 7.154960643757163)	('>50', 1.8748614063764446)	('>100', 4.796657588383719)	('>500', 1.9416692538172478)	('>1k', 1.9270589103573301)	('>5k', 0.11200647987501765)	('>10k+', 0.20090213132842547)
131415H14_R1_001	(1.0, 45.46986593256548)	(2.0, 16.06545392139334)	(3.0, 7.993669993758572)	(4.0, 4.8599559350484896)	(5.0, 3.059925701289527)	(6.0, 2.1010137685588055)	(7.0, 1.5844632153433715)	(8.0, 1.1961162449007676)	(9.0, 0.9557149019328877)	('>10', 8.533333479444497)	('>50', 1.979902159410016)	('>100', 4.1261614615929725)	('>500', 1.2220650340947201)	('>1k', 0.8523582506665175)	('>5k', 0.0)	('>10k+', 0.0)
131415H14_R2_001	(1.0, 49.07339655426459)	(2.0, 15.047700486351578)	(3.0, 7.4693277931979845)	(4.0, 4.3938156168515)	(5.0, 2.878480314960408)	(6.0, 1.9538578401349875)	(7.0, 1.4280143522164268)	(8.0, 1.1320093333372103)	(9.0, 0.8889705040015403)	('>10', 7.89835624280637)	('>50', 1.844533590230073)	('>100', 3.9255323782140263)	('>500', 1.1367260203136498)	('>1k', 0.8169245700486639)	('>5k', 0.0)	('>10k+', 0.11235440307109279)
