Module	Section	Sample Name	Source
FastQC	all_sections	456M4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456M4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415H9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415H9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789H9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789H9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456H4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456H4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415L4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415L4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789L4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789L4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789M4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789M4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789H4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789H4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112C14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112C14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112C14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112C14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112H9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112H9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112L14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112L14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789H14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789H14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415H14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415H14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789M14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789M14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415M9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415M9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415H9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415H9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123H9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123H9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112M4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112M4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123H4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123H4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415M9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415M9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789M4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789M4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	45C9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/45C9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415M14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415M14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415L4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415L4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112M14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112M14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	45C14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/45C14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123H14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123H14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112L9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112L9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415H14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415H14_R1_001.fastp-trim_fastqc.zip
